#{"t_start": 1774563021.1454914, "env_id": "None"}
r,l,t
3644.940602,300,11386.690654
4161.947247,300,11428.355994
3131.954406,300,11466.877015
4330.256096,290,11510.117907
4325.22332,290,11551.588803
2827.985368,226,11580.534301
4095.806634,300,11619.044431
4139.499515,300,11660.991971
2815.607454,226,11689.14019
4425.638608,300,11731.242036
4418.133746,300,11774.537065
4144.462884,300,11816.573623
2777.847798,300,11855.937889
2861.863051,300,11895.099192
4416.33473,300,11937.123335
4149.373327,300,11979.334734
4327.233797,290,12022.82273
4424.383,300,12065.684749
4332.481368,290,12108.915136
4465.263709,300,12148.964484
4175.343873,300,12190.703727
4332.535094,290,12234.07901
4104.818778,300,12272.153336
4467.948974,300,12314.001394
4333.057573,290,12356.424543
2878.680188,300,12395.69146
4174.217113,300,12436.587973
3102.875719,300,12475.632473
4422.986041,300,12519.380307
4422.623389,300,12561.496937
4415.929878,300,12605.052221
4422.010598,300,12648.261903
2879.979763,300,12688.186211
3127.174721,300,12725.782613
4174.94999,300,12766.281359
4171.314797,300,12808.18466
2825.641329,226,12836.246127
4427.756731,300,12879.755006
3040.3229,300,12919.768255
4169.539297,300,12959.908826
4159.713225,300,13001.312868
4166.560977,300,13042.686651
19999.767652,1370,13235.994675
3073.349283,300,13274.94189
9945.618439,766,13369.899981
3122.946453,300,13408.749604
3120.349481,300,13448.297136
3159.532316,300,13486.856573
4162.407695,300,13528.017757
4159.1414,300,13568.705202
4155.330054,300,13610.171744
4151.080481,300,13651.985924
4161.191548,300,13693.284137
4164.35929,300,13733.405278
4161.100023,300,13775.295791
4334.185517,290,13819.047263
4424.537665,300,13863.364114
2821.610157,226,13892.19489
4335.523694,290,13934.9153
3114.65117,300,13974.431421
4166.676889,300,14015.977362
4463.975421,300,14057.695662
3117.733607,300,14096.718493
4151.968713,300,14136.880465
4150.431868,300,14178.894372
4152.773461,300,14220.790753
3091.947749,300,14260.277982
4092.049149,300,14298.74784
4334.371743,290,14341.116702
3635.602881,300,14379.445264
4465.235137,300,14421.715321
3062.366069,300,14461.311521
4335.234259,290,14505.626215
4467.536918,300,14546.63184
3022.017283,300,14585.469355
1850.504875,300,14625.82358
2826.081865,226,14654.469014
4145.495785,300,14696.463532
4335.460158,290,14738.506438
4470.922597,300,14779.657307
4426.5062,300,14823.086598
4427.727186,300,14865.757352
4098.913115,300,14904.062978
4332.170319,290,14945.976257
5579.305381,601,15025.457892
2152.224241,300,15065.654669
3637.172435,300,15103.362954
3041.803725,300,15141.42572
4333.023561,290,15184.924979
4144.003826,300,15226.665584
4166.841753,300,15268.385214
2660.168603,300,15308.868893
4468.743396,300,15348.670895
3060.696745,300,15387.565233
6219.872311,601,15466.894979
4466.398243,300,15507.44724
4091.478046,300,15544.186141
20001.429557,1370,15712.992539
6195.341944,601,15790.276638
3043.834214,300,15829.335764
4408.120875,300,15872.21404
4151.823303,300,15913.550269
4465.770631,300,15953.266649
2831.108435,300,15992.123747
4420.36724,300,16034.497292
3635.803117,300,16072.478364
4169.627495,300,16113.678712
4149.28972,300,16153.991504
4156.541154,300,16195.629956
4154.058121,300,16236.535842
2814.53233,226,16265.347924
3065.77952,300,16304.077376
2962.755969,300,16342.258267
3031.027745,300,16381.119882
4151.478722,300,16422.01298
2986.993,300,16461.566052
3050.727192,300,16500.211715
2981.42719,300,16538.477636
4333.648415,290,16580.848962
4159.328693,300,16622.151497
4147.874169,300,16663.482414
4157.15435,300,16704.973951
4423.021878,300,16746.8909
2974.058022,300,16787.343175
4166.271563,300,16829.535618
4155.609114,300,16871.29966
